,Range
act_mean,81050.59022996823
act_std,32226.928515823965
aldo_mean,127.69930331125828
aldo_std,294.660092066159
ao_mean,30209.600870793183
ao_std,11241.08854204072
aqc_mean,4385.180429454091
aqc_std,2859.1311077557802
at_mean,297953.269402831
at_std,95178.67914370626
bkvlps_mean,16332.633643105939
bkvlps_std,4572.855571188113
ch_mean,20743.609966376956
ch_std,9729.15256873874
cogs_mean,270225.7513568829
cogs_std,58176.35645905376
cshi_mean,2692.042453500655
cshi_std,2195.0009018709093
cstk_mean,3635.55253552569
cstk_std,324.5039915266507
dd1_mean,7675.873997973057
dd1_std,3714.3692764442467
dd2_mean,5348.421486834817
dd2_std,2038.0502028462647
dd3_mean,4062.465362116017
dd3_std,1608.510954702644
dd4_mean,3195.1445587938315
dd4_std,2164.9159337361366
dd5_mean,3183.220069187045
dd5_std,2050.3110794087556
dltt_mean,62469.4560410026
dltt_std,28713.801772695202
dp_mean,12573.412467552325
dp_std,4853.897999448649
dpact_mean,64964.24517886869
dpact_std,26495.063837183992
dpc_mean,9638.279428571972
dpc_std,2511.83375249315
dt_mean,65216.554307149476
dt_std,33776.21035007578
dv_mean,3029.228098763002
dv_std,839.6174407935744
dvt_mean,3028.2147567855213
dvt_std,987.5267453925676
ebit_mean,17600.916069242343
ebit_std,7214.6067862744385
ebitda_mean,30139.744111331926
ebitda_std,11465.95399699185
emp_mean,1552.3159368090728
emp_std,313.23278673072775
epspi_mean,153851.81673247082
epspi_std,1502073.5756643417
gdwl_mean,17954.737932146378
gdwl_std,6508.556556523385
invt_mean,33392.467762702756
invt_std,7252.88363781077
lct_mean,83691.60223631724
lct_std,31361.623286772374
lt_mean,240817.99157368008
lt_std,64201.652384544665
ni_mean,11894.172760008381
ni_std,7711.7033305562345
opeps_mean,20.309490219683116
opeps_std,43.624201862339575
ppegt_mean,180969.8320097954
ppegt_std,76763.99448984134
ppent_mean,115930.40445138497
ppent_std,50877.201206406506
prstkc_mean,3454.6508310523104
prstkc_std,2414.5650498702616
pstk_mean,894.6333537010398
pstk_std,174.95575272213247
re_mean,56638.69703929262
re_std,21442.250267526422
rect_mean,74405.9628905587
rect_std,8594.343914001734
revt_mean,406491.956326161
revt_std,111643.88641356997
sale_mean,407663.82814025343
sale_std,108639.6291937354
siv_mean,21403.73705606103
siv_std,7763.479141631858
teq_mean,78753.8499713358
teq_std,34000.5023740522
txp_mean,678.8219058264222
txp_std,329.106582876923
xopr_mean,376357.03299404186
xopr_std,101462.70915856944
xpr_mean,693.4378139900944
xpr_std,283.24138835207924
xsga_mean,107339.89467867794
xsga_std,41058.75712005179
prccd_mean,3693.987146212083
prccd_std,
prchd_mean,3704.7935059903994
prchd_std,
prcld_mean,3666.756657377452
prcld_std,
prcod_mean,3680.951440261373
prcod_std,
