,Range
"('act', 'mean')",77752.06615844183
"('act', 'std')",17263.121303324835
"('aldo', 'mean')",158.7490233940238
"('aldo', 'std')",410.4125500219376
"('ao', 'mean')",239526.5663578795
"('ao', 'std')",71693.68713790589
"('aqc', 'mean')",2618.7337990003425
"('aqc', 'std')",2702.1967412419203
"('at', 'mean')",2261500.747890951
"('at', 'std')",280176.78570826584
"('bkvlps', 'mean')",9706.883263975722
"('bkvlps', 'std')",4198.969072249717
"('ch', 'mean')",168530.0805096426
"('ch', 'std')",66268.65727361885
"('cogs', 'mean')",163977.71395610351
"('cogs', 'std')",35889.261642825906
"('cshi', 'mean')",5977.046124728354
"('cshi', 'std')",6684.773975468908
"('cstk', 'mean')",10308.488033634489
"('cstk', 'std')",774.588589457208
"('dd1', 'mean')",26570.393836820822
"('dd1', 'std')",7850.370812273478
"('dd2', 'mean')",8002.304827784659
"('dd2', 'std')",2244.4941739049905
"('dd3', 'mean')",6880.123788836316
"('dd3', 'std')",1668.7136451754536
"('dd4', 'mean')",5370.01652856941
"('dd4', 'std')",1442.8220104084128
"('dd5', 'mean')",5105.548747816003
"('dd5', 'std')",1695.6068281613818
"('dltt', 'mean')",562409.0280322299
"('dltt', 'std')",92763.10846203046
"('dp', 'mean')",16000.333291261095
"('dp', 'std')",3099.5085128694777
"('dpact', 'mean')",128470.98964108755
"('dpact', 'std')",22893.58662820693
"('dpc', 'mean')",15525.0402756712
"('dpc', 'std')",2553.407711500266
"('dt', 'mean')",413845.1118844443
"('dt', 'std')",70596.01117232277
"('dv', 'mean')",5766.5852208287715
"('dv', 'std')",1856.6805327979419
"('dvt', 'mean')",5911.71493152768
"('dvt', 'std')",1795.6617034112771
"('ebit', 'mean')",39918.62080035599
"('ebit', 'std')",13853.9722505628
"('ebitda', 'mean')",41353.42825245611
"('ebitda', 'std')",14682.999482852802
"('emp', 'mean')",350.1949167114721
"('emp', 'std')",56.31834175685733
"('epspi', 'mean')",11.828759507933071
"('epspi', 'std')",33.670686666888535
"('gdwl', 'mean')",16894.538293744496
"('gdwl', 'std')",4007.34545297782
"('invt', 'mean')",22628.431032814533
"('invt', 'std')",17211.404531782384
"('lct', 'mean')",69814.37385361307
"('lct', 'std')",13940.219313750182
"('lt', 'mean')",2131630.118741223
"('lt', 'std')",273235.30219715135
"('ni', 'mean')",16058.771371837565
"('ni', 'std')",11612.447044605775
"('opeps', 'mean')",12.464662583111739
"('opeps', 'std')",34.11209602759862
"('optprcgr', 'mean')",26.515850544916987
"('optprcgr', 'std')",7.206698080606188
"('ppegt', 'mean')",264855.4773278319
"('ppegt', 'std')",39323.103648928874
"('ppent', 'mean')",136534.5681355371
"('ppent', 'std')",23202.243139435774
"('prstkc', 'mean')",6817.8096608472515
"('prstkc', 'std')",4960.833827916403
"('pstk', 'mean')",22182.036024710196
"('pstk', 'std')",1119.203241232203
"('re', 'mean')",114447.60979998889
"('re', 'std')",27065.15833316212
"('rect', 'mean')",1084190.5433126644
"('rect', 'std')",124095.60739824659
"('revt', 'mean')",229206.9027735676
"('revt', 'std')",52414.177910756945
"('sale', 'mean')",228743.0107887463
"('sale', 'std')",52560.9630729843
"('siv', 'mean')",246309.33513142072
"('siv', 'std')",83835.87865608906
"('teq', 'mean')",136111.54252896132
"('teq', 'std')",27978.912515409855
"('txp', 'mean')",1433.0111054594715
"('txp', 'std')",738.3202606336614
"('xopr', 'mean')",190925.418788497
"('xopr', 'std')",42565.92339001298
"('xpr', 'mean')",1290.0155606591948
"('xpr', 'std')",415.76863719439604
"('xrd', 'mean')",5826.700498807043
"('xrd', 'std')",2493.9931985756252
"('xsga', 'mean')",26793.38585222498
"('xsga', 'std')",7519.504388016641
"('prccd', 'mean')",12768.499894007587
"('prccd', 'std')",12801.883730515774
"('prchd', 'mean')",12870.905277490307
"('prchd', 'std')",12903.65517316682
"('prcld', 'mean')",12670.025092217029
"('prcld', 'std')",12704.711686375807
"('prcod', 'mean')",12784.79229561048
"('prcod', 'std')",12806.438811346317
Debt_to_Equity_Ratio,27440.156190979676
Current_Ratio,29.458315796910465
Asset_Turnover_Ratio,7164.363870836713
Return_on_Assets_ROA,7.037396919634847
Return_on_Equity_ROE,242.04669234662322
Gross_Profit_Margin,1099.1532410332004
Operating_Profit_Margin,25.656670837388585
Earnings_per_Share_EPS,0.003513902084606848
Cash_Ratio,231.5417201002548
Inventory_Turnover_Ratio,1512.5161496071546
Quick_Ratio,351.0132307459662
Cash_Flow_to_Debt_Ratio,452.0247183747153
